上呼吸道感染,上呼吸道疾病,丘疹性荨麻疹,中耳炎,发热,变应性鼻炎,呕吐,呼吸道感染,咳嗽,哮喘,外伤证,头晕,头痛,急性上呼吸道感染,急性喉炎,急性扁桃体炎,手足口病,支气管炎,消化不良,湿疹,猩红热样红斑,疱疹性咽峡炎,皮炎,皮疹,结膜炎,肺炎,胃肠功能紊乱,腹泻,腹痛,荨麻疹,时间
10,35,8,32,214,1,17,9,76,30,18,3,9,57,10,16,None,144,13,36,1,10,16,12,15,197,30,32,41,9,20180304
7,41,3,18,207,3,18,19,78,37,16,16,19,46,15,11,None,153,12,57,1,7,27,12,20,178,21,28,58,20,20180305
6,46,10,11,214,4,25,17,65,28,36,18,19,73,19,15,1,147,9,54,2,11,16,10,28,177,24,22,60,13,20180306
9,36,11,18,204,4,19,16,79,29,24,16,18,47,16,17,None,148,11,47,2,9,17,8,14,187,21,36,59,11,20180307
6,22,7,22,213,None,20,14,76,16,21,14,13,54,14,8,None,176,15,65,2,5,13,8,18,150,20,20,56,14,20180308
4,44,9,11,171,4,14,13,69,28,25,13,13,59,15,10,None,146,11,47,3,6,16,6,16,189,14,23,39,6,20180309
15,28,7,21,178,15,17,8,102,43,32,17,20,72,8,10,None,175,16,79,6,10,24,9,31,166,22,22,52,17,20180310
5,26,8,29,195,10,26,14,67,54,37,13,13,44,9,16,1,157,16,62,7,16,20,13,19,159,17,18,53,22,20180311
24,28,7,19,202,None,25,6,89,36,30,25,22,56,11,14,1,137,18,79,4,8,25,7,13,139,17,19,56,21,20180312
11,43,11,22,175,5,25,5,61,43,27,14,23,78,20,9,1,146,23,75,6,8,26,5,22,136,22,28,70,11,20180313
4,34,12,27,193,7,18,19,73,35,36,16,22,67,14,15,None,169,12,64,9,5,19,20,18,122,15,35,63,18,20180314
7,22,10,25,153,None,13,12,67,14,29,10,23,76,14,9,None,151,15,42,8,9,15,5,17,102,14,32,60,13,20180315
13,29,10,27,153,1,29,3,68,16,42,9,16,61,17,12,None,135,12,45,8,5,20,4,18,118,22,33,82,13,20180316
9,26,21,28,182,12,25,19,103,30,22,6,25,74,13,6,2,167,15,66,15,8,20,11,32,133,23,38,69,17,20180317
17,44,20,41,148,14,20,4,57,41,27,5,21,83,19,11,1,182,20,65,9,7,30,9,15,133,21,25,52,22,20180318
19,39,15,32,186,2,26,17,109,31,23,16,23,74,9,11,2,176,16,72,6,2,34,4,19,144,27,29,65,16,20180319
9,28,15,32,190,7,9,16,92,31,23,13,12,83,5,20,1,194,19,55,8,2,25,6,17,144,17,28,74,20,20180320
6,31,8,32,171,8,17,20,72,40,31,13,15,62,6,12,1,175,12,67,5,5,27,5,25,156,19,28,63,13,20180321
6,35,17,22,180,1,11,28,77,24,19,15,29,73,12,17,2,163,12,80,7,8,16,7,26,124,19,31,49,18,20180322
21,35,15,28,158,5,19,3,89,31,43,17,13,64,10,15,3,158,9,63,11,5,26,4,15,156,22,46,78,13,20180323
23,19,19,37,190,19,20,3,118,40,48,14,14,63,16,12,2,154,6,84,12,4,22,15,34,123,19,28,60,9,20180324
16,30,17,48,179,11,21,13,107,51,34,6,15,61,18,7,None,146,15,93,6,14,24,17,31,120,21,31,61,15,20180325
12,34,24,42,191,2,20,13,105,30,36,9,30,52,15,7,1,185,20,77,6,9,27,5,21,142,18,28,72,15,20180326
29,30,34,28,206,11,32,3,90,26,30,21,21,68,15,10,None,181,24,59,4,7,22,6,31,146,23,29,86,9,20180327
10,34,25,35,210,12,27,16,123,35,48,16,16,55,12,10,1,164,17,51,7,14,31,8,26,149,24,25,90,17,20180328
3,30,19,36,195,2,19,18,130,29,26,14,20,71,17,9,None,163,7,58,6,7,30,12,24,117,18,26,67,8,20180329
7,33,16,29,195,12,21,11,121,25,25,13,19,69,13,17,1,186,17,58,9,5,18,9,19,140,21,23,83,13,20180330
30,25,29,38,225,26,24,1,109,36,49,13,20,86,11,12,1,189,11,72,13,15,26,13,30,138,12,22,78,10,20180331
7,40,29,26,195,17,27,17,126,45,42,13,16,100,13,11,5,186,8,58,15,12,20,9,25,133,7,33,71,18,20180401
18,30,35,27,255,15,23,13,133,19,43,24,23,73,21,12,2,187,14,67,16,11,34,10,30,134,10,33,90,15,20180402
9,31,13,29,220,7,25,19,112,34,29,11,25,103,12,13,6,204,13,31,19,7,22,7,25,126,17,20,89,14,20180403
15,27,14,26,194,7,20,22,118,16,18,14,19,78,16,12,4,174,14,43,12,9,21,12,30,116,11,32,65,16,20180404
4,29,19,28,202,12,19,16,116,39,22,13,16,93,6,5,1,160,9,45,14,4,21,13,30,124,17,24,57,11,20180405
10,35,19,40,209,14,33,23,117,40,28,7,11,63,8,14,2,172,9,53,12,3,20,12,38,111,26,27,67,13,20180406
21,29,22,41,201,6,22,6,135,40,34,10,18,84,11,16,3,208,16,72,15,11,22,12,27,136,21,23,67,19,20180407
22,39,14,35,195,4,34,3,94,35,18,7,10,91,9,16,1,187,8,91,8,11,21,10,22,127,11,31,67,16,20180408
16,35,21,28,210,20,30,3,133,37,23,18,28,66,6,16,2,207,8,102,15,13,25,10,20,132,13,31,80,6,20180409
2,42,17,35,225,4,18,17,98,30,20,19,16,87,14,13,3,221,19,68,12,10,37,14,23,161,28,25,77,19,20180410
11,43,15,52,222,4,18,17,96,53,33,19,17,71,12,13,2,213,8,61,11,9,23,22,25,153,21,21,91,14,20180411
7,26,20,32,226,11,40,25,106,30,42,16,18,86,16,9,5,210,11,80,12,11,20,12,27,146,7,31,73,12,20180412
13,37,13,46,184,18,25,3,108,28,21,11,17,81,5,11,6,181,14,48,14,10,20,13,18,152,12,35,57,10,20180413
6,25,21,54,196,7,26,16,107,54,17,13,13,71,16,13,9,259,11,58,11,16,19,23,32,131,14,32,71,11,20180414
25,26,23,39,213,19,29,4,96,34,43,10,20,80,15,15,4,281,13,72,17,16,19,14,31,134,25,35,61,20,20180415
27,40,15,51,240,8,30,9,129,34,19,23,27,73,15,13,9,222,7,84,9,19,22,18,31,149,2,27,67,16,20180416
18,40,19,45,227,4,38,4,132,41,31,15,10,90,11,13,7,241,18,103,9,22,28,11,31,153,18,29,92,24,20180417
6,42,12,49,222,3,26,16,109,43,18,13,25,74,15,10,7,204,21,77,12,14,31,19,19,150,12,25,73,19,20180418
11,50,15,36,252,16,24,20,121,18,28,15,25,97,13,13,7,219,14,79,12,30,27,11,30,122,10,38,60,30,20180419
12,40,16,31,240,14,22,4,129,32,35,8,21,73,10,21,2,223,14,56,15,28,22,14,27,134,19,22,81,22,20180420
26,22,17,32,296,10,29,None,143,24,41,17,18,74,19,15,2,204,10,70,14,20,41,28,30,130,17,33,73,15,20180421
4,36,16,43,245,9,20,13,97,61,39,8,15,84,26,11,2,218,12,34,8,29,13,20,21,139,13,27,45,14,20180422
6,45,16,54,257,16,24,16,135,30,20,14,23,73,18,11,1,225,11,44,8,29,24,16,26,143,10,30,75,18,20180423
23,41,9,44,259,9,30,7,123,34,12,13,18,56,22,17,3,236,12,53,12,35,27,23,28,166,21,24,101,26,20180424
11,54,10,58,205,5,18,5,111,42,34,16,19,88,18,17,6,259,19,73,7,27,36,24,28,136,12,32,88,27,20180425
8,37,13,33,204,18,16,21,139,12,38,22,21,93,16,18,5,242,19,56,6,39,31,25,29,122,16,30,85,19,20180426
10,49,15,33,231,12,33,8,125,17,38,4,21,68,19,13,12,218,8,58,7,27,28,25,28,120,24,30,74,16,20180427
26,35,15,36,253,5,12,6,128,34,24,10,12,82,15,18,6,234,11,74,12,40,29,23,34,150,17,18,70,19,20180428
42,30,16,21,282,10,23,None,127,52,41,10,26,74,16,21,12,213,12,65,7,47,32,21,24,106,17,33,57,24,20180429
20,34,17,28,267,6,23,16,136,21,46,11,25,96,15,14,13,220,9,72,6,43,30,21,37,128,12,25,59,14,20180430
9,40,22,53,275,15,24,28,140,45,39,7,15,72,16,19,13,295,22,50,11,43,17,18,39,141,22,22,67,16,20180501
8,35,17,49,229,6,26,24,137,48,49,10,20,80,17,11,19,253,15,46,15,44,36,19,34,144,12,33,90,20,20180502
9,28,13,34,257,13,29,19,153,32,28,16,13,86,13,12,24,207,19,45,20,56,37,16,32,125,17,34,88,13,20180503
7,42,23,32,256,27,25,20,128,19,27,9,22,60,20,14,40,222,17,54,17,55,22,13,39,145,24,38,103,19,20180504
27,35,20,38,288,25,22,12,143,27,40,5,22,64,18,15,38,229,9,67,12,41,22,14,34,132,19,46,81,26,20180505
33,66,26,44,274,9,35,1,151,106,53,8,21,82,20,14,36,234,13,64,11,60,30,17,29,133,25,48,76,26,20180506
21,30,23,49,284,18,30,4,143,29,44,11,30,96,23,16,30,249,13,65,10,47,24,22,31,150,19,46,99,19,20180507
7,41,18,26,251,9,28,21,114,33,26,10,12,89,18,16,30,266,19,66,18,64,28,20,39,137,37,54,99,12,20180508
17,52,25,37,285,21,30,5,119,55,27,18,22,73,19,14,30,245,17,73,10,70,30,25,36,164,16,44,81,15,20180509
14,45,22,23,301,12,27,24,106,17,33,18,25,85,17,18,38,252,12,53,6,81,23,15,46,156,22,46,93,19,20180510
17,36,27,21,323,23,37,4,138,30,36,12,16,84,23,14,34,244,19,49,9,76,17,22,28,157,23,42,82,16,20180511
13,29,32,34,310,31,34,21,178,60,50,16,20,67,25,14,46,233,10,61,14,62,28,20,26,152,14,55,76,20,20180512
22,56,30,26,321,20,23,20,154,34,37,7,18,85,19,11,39,216,20,49,17,66,27,24,26,132,17,57,77,18,20180513
18,41,41,25,324,20,36,17,144,35,33,25,26,81,25,7,40,242,9,57,12,86,33,23,31,145,21,38,91,33,20180514
11,30,29,39,298,3,34,10,107,30,48,19,24,107,19,17,42,254,11,46,16,103,41,41,29,137,16,38,101,19,20180515
7,37,29,37,293,8,31,25,106,44,52,14,23,64,22,12,43,227,16,35,13,78,20,35,23,160,17,43,76,32,20180516
8,36,29,29,296,13,25,10,128,14,73,10,32,85,18,8,38,212,20,39,14,77,42,38,23,146,28,40,72,15,20180517
12,40,30,26,314,31,30,13,110,34,34,17,30,95,15,9,44,197,19,45,13,108,40,47,22,144,25,65,94,17,20180518
28,22,35,25,305,16,21,3,116,36,44,15,15,87,15,23,64,257,16,45,13,106,63,39,40,153,24,42,69,19,20180519
18,40,30,28,331,16,29,21,129,41,47,8,22,82,14,18,58,258,19,61,19,126,50,33,32,146,18,33,51,24,20180520
11,45,31,23,289,37,11,13,108,32,49,14,32,79,14,31,62,245,6,40,10,135,56,30,27,145,27,45,79,15,20180521
25,33,30,32,285,8,23,2,123,36,51,6,28,75,19,19,70,231,25,47,11,138,41,36,27,157,30,41,107,18,20180522
13,33,30,34,306,15,30,10,116,56,34,10,22,121,23,13,89,241,19,69,11,112,41,31,28,152,18,39,82,28,20180523
14,37,43,14,305,22,24,18,113,16,34,22,31,89,16,17,92,212,16,64,12,163,32,33,34,152,32,28,75,26,20180524
12,35,34,16,324,25,20,21,124,38,46,6,23,89,14,17,71,225,17,56,12,190,31,48,30,171,32,37,82,24,20180525
39,17,48,31,317,23,13,5,143,38,64,7,21,109,20,18,105,215,8,58,14,197,27,37,34,157,54,17,93,22,20180526
13,33,39,27,293,21,22,31,146,53,45,6,14,81,22,32,97,226,23,41,10,222,38,31,43,125,52,39,54,27,20180527
22,39,39,28,333,31,25,10,152,27,32,14,27,111,17,24,90,259,17,41,4,215,31,36,31,160,27,35,83,30,20180528
13,34,30,27,361,15,24,28,93,33,37,11,36,122,18,26,84,279,23,42,9,205,34,34,42,148,39,40,104,16,20180529
27,38,32,18,352,11,22,16,123,56,55,12,25,87,17,15,105,221,19,47,6,243,32,44,31,172,40,18,81,19,20180530
15,33,29,18,405,26,34,19,130,9,56,19,33,87,13,23,99,211,10,42,5,251,27,35,36,138,57,16,75,15,20180531
29,42,20,21,388,30,30,8,128,30,49,15,21,69,17,16,90,218,9,61,7,262,32,36,27,150,44,38,90,16,20180601
20,37,34,17,361,24,26,33,144,34,31,11,23,85,16,34,109,230,10,89,8,256,60,40,37,126,53,23,72,24,20180602
24,40,19,19,396,17,26,35,117,36,56,8,18,63,20,27,109,201,9,56,8,265,34,42,30,126,30,34,75,22,20180603
21,24,38,27,405,29,31,12,151,30,58,17,23,101,12,30,122,223,15,64,15,300,36,31,21,139,13,41,85,33,20180604
6,36,21,21,394,18,35,36,133,48,63,11,35,89,20,39,123,272,16,48,14,340,25,44,38,143,28,31,96,23,20180605
42,46,18,19,366,16,29,4,123,56,64,11,28,83,11,21,121,212,13,27,16,288,45,47,25,141,36,17,101,25,20180606
24,18,11,14,393,29,33,21,132,24,32,4,21,101,12,32,97,211,11,36,17,313,43,50,29,139,49,19,110,18,20180607
23,27,25,19,381,49,43,5,160,37,53,15,25,96,15,24,114,161,15,37,19,333,26,50,26,145,21,37,82,22,20180608
34,36,15,25,331,24,25,3,148,50,50,3,14,65,16,18,123,210,18,37,16,202,40,41,37,136,52,16,85,24,20180609
30,59,29,20,333,32,30,23,137,54,59,5,30,84,18,23,109,225,20,24,12,215,28,55,35,132,21,61,82,19,20180610
11,35,25,23,375,28,30,31,158,35,58,20,18,76,12,20,129,222,12,39,17,255,39,42,26,147,24,48,102,29,20180611
14,31,17,25,309,11,16,12,161,32,39,13,25,83,7,21,125,244,16,44,18,235,24,44,31,150,37,34,116,23,20180612
None,48,37,38,317,15,33,25,105,50,54,18,21,113,9,25,122,244,8,34,17,198,30,39,34,141,61,13,100,16,20180613
8,53,25,18,320,28,26,24,136,17,61,12,15,73,6,19,117,194,13,30,13,239,26,56,26,135,48,26,97,17,20180614
31,41,26,22,352,26,34,7,136,44,60,11,19,99,7,16,107,205,8,38,16,267,24,31,31,131,28,51,87,14,20180615
28,23,32,30,389,28,26,3,132,48,65,15,17,100,10,11,101,174,11,45,10,279,35,34,44,152,77,28,95,23,20180616
16,43,30,20,372,36,24,25,127,51,50,2,12,83,17,11,96,168,10,35,7,322,37,40,30,128,33,40,58,17,20180617
12,37,42,29,391,37,19,29,130,22,30,8,19,89,7,18,126,182,17,42,8,314,36,49,37,133,27,50,72,23,20180618
19,33,37,20,421,9,22,23,139,12,59,12,19,105,10,17,117,194,13,29,5,340,41,42,32,128,37,43,79,18,20180619
25,36,26,28,418,17,38,14,108,75,64,11,29,109,7,22,124,216,14,30,10,351,19,48,28,148,55,22,106,27,20180620
10,32,19,17,464,20,25,30,149,11,61,14,21,85,7,21,118,184,13,13,10,339,29,39,20,125,45,27,90,27,20180621
28,28,24,16,459,26,28,6,138,33,53,7,22,74,9,21,114,185,24,37,12,342,25,62,21,160,43,42,115,20,20180622
23,29,16,26,475,43,32,17,116,38,26,10,16,101,9,11,100,194,8,42,16,317,22,45,28,132,41,18,82,26,20180623
25,35,29,32,470,21,17,26,138,34,80,9,14,76,8,14,114,196,20,42,8,352,29,51,25,143,32,40,76,26,20180624
19,50,15,22,328,14,23,12,109,41,60,16,19,74,12,17,126,203,8,41,5,353,25,48,20,144,30,41,83,27,20180625
16,24,19,20,372,7,21,14,121,22,63,20,14,80,22,22,126,187,16,34,8,340,31,56,31,137,43,38,81,33,20180626
5,23,18,37,353,7,26,31,91,62,44,9,18,64,26,20,108,186,9,31,9,328,21,66,24,138,41,16,75,30,20180627
15,21,23,16,333,11,22,9,128,21,39,15,30,69,19,13,89,198,12,12,11,309,31,63,21,112,35,17,90,25,20180628
20,14,23,15,396,22,20,1,111,40,54,8,27,49,21,16,110,161,14,23,14,326,22,55,13,122,35,36,87,23,20180629
17,29,26,19,430,24,18,19,133,41,69,7,18,91,37,21,95,184,5,33,13,350,37,69,23,113,46,23,88,30,20180630
21,37,26,32,444,11,22,27,115,31,68,6,16,77,17,18,143,170,22,30,9,440,42,84,26,119,30,50,70,23,20180701
25,29,17,40,471,16,23,16,133,24,46,11,15,71,12,18,130,176,18,36,5,416,47,55,17,125,35,50,75,20,20180702
5,27,13,18,390,9,27,36,122,48,71,19,25,88,15,19,146,181,31,39,8,385,25,63,27,120,56,29,109,28,20180703
17,33,19,27,415,7,21,24,119,48,67,11,17,66,15,19,146,180,15,37,9,369,32,72,37,136,30,39,73,28,20180704
10,31,17,22,425,13,27,23,128,21,68,14,18,68,12,23,126,161,11,38,9,343,32,59,20,125,35,39,96,24,20180705
23,38,13,16,458,19,19,5,114,31,75,5,22,62,7,27,129,174,19,32,9,363,16,54,15,135,36,37,99,25,20180706
12,23,18,17,430,34,35,18,104,44,49,5,13,68,12,23,126,162,20,32,10,337,38,64,22,123,26,40,92,29,20180707
26,42,20,9,409,17,18,8,123,51,50,11,16,78,11,20,143,155,15,33,7,339,24,66,23,119,43,38,56,31,20180708
10,29,22,20,413,10,24,31,125,45,74,9,27,79,12,25,150,154,13,50,11,334,39,65,29,120,18,41,73,43,20180709
15,27,21,13,349,14,25,14,100,44,77,11,14,93,14,24,121,171,26,38,8,342,33,70,28,125,38,35,95,21,20180710
3,29,17,17,356,10,24,39,113,76,55,17,20,70,14,15,115,162,16,42,7,255,21,72,21,118,35,30,88,21,20180711
17,19,17,17,410,8,11,22,133,16,47,15,28,88,19,16,114,156,8,37,6,298,26,53,27,120,43,40,65,21,20180712
28,18,11,18,412,13,24,4,120,37,45,8,18,59,11,13,113,138,16,22,9,340,32,40,20,112,32,44,87,18,20180713
26,28,18,21,405,12,24,14,131,30,70,13,14,65,8,19,95,138,14,31,6,363,33,72,28,116,35,32,87,16,20180714
19,23,27,12,412,14,18,33,115,56,71,17,12,55,9,20,155,149,10,40,8,420,34,58,29,107,30,32,53,36,20180715
27,28,25,33,409,15,19,15,136,38,61,13,22,55,11,14,129,154,21,24,7,365,28,64,29,97,27,39,66,21,20180716
8,23,25,26,391,3,15,18,114,47,54,12,21,76,9,21,142,184,13,32,11,406,42,60,19,117,53,33,71,33,20180717
16,42,16,19,405,11,17,38,131,57,46,8,25,61,7,17,138,188,21,28,9,337,54,79,24,105,38,37,85,34,20180718
5,27,18,21,438,11,18,24,114,35,77,10,26,68,10,25,134,166,12,39,8,368,39,68,13,98,32,41,76,28,20180719
19,18,20,20,416,11,19,3,125,19,65,6,16,75,7,22,181,143,12,21,8,353,41,58,19,120,37,37,78,16,20180720
22,24,13,16,446,7,10,15,109,40,41,5,11,74,11,17,140,163,17,24,8,326,39,101,20,115,29,37,64,24,20180721
11,30,18,21,437,6,18,15,122,54,44,2,17,56,12,17,154,145,24,33,5,359,35,78,20,106,47,36,80,27,20180722
9,23,23,36,431,9,14,15,112,26,52,17,29,65,13,18,154,146,11,33,8,371,28,68,20,132,31,45,87,21,20180723
23,22,14,20,419,9,21,6,120,42,81,15,17,67,11,12,154,176,22,40,5,343,36,70,25,129,29,47,76,34,20180724
5,26,12,30,475,5,15,19,119,57,77,5,17,49,5,3,152,165,17,33,5,342,30,82,25,116,30,35,85,22,20180725
13,28,14,23,466,9,21,14,129,26,55,10,32,51,11,13,135,147,17,19,1,349,29,66,21,100,17,39,79,23,20180726
15,27,8,29,488,18,16,3,130,30,38,7,19,49,13,18,132,145,17,27,1,303,24,65,15,96,31,21,63,22,20180727
21,22,17,25,418,7,13,20,114,18,58,4,16,65,11,20,156,162,10,22,2,347,33,78,24,100,21,39,68,32,20180728
12,23,16,13,470,7,16,23,147,8,58,9,20,55,15,19,144,138,14,36,5,303,36,82,21,91,30,47,62,37,20180729
24,24,11,30,486,12,17,17,131,18,73,17,27,69,14,13,165,139,13,43,4,338,27,74,25,104,30,48,78,22,20180730
7,22,11,27,522,8,20,25,142,41,63,9,21,88,17,12,140,169,21,34,6,301,32,86,19,108,33,46,90,30,20180731
None,30,7,26,475,5,23,25,103,48,59,8,21,71,20,12,138,167,8,28,6,313,32,93,23,100,26,40,82,43,20180801
5,29,21,29,503,10,21,28,126,19,49,9,34,69,17,22,155,163,6,27,6,279,27,82,22,111,27,37,68,27,20180802
28,27,11,24,543,7,28,8,133,27,70,7,28,66,22,22,161,150,23,29,5,292,17,97,15,112,32,41,77,13,20180803
26,22,14,30,542,15,14,14,153,40,69,9,25,103,16,21,135,171,20,24,6,297,21,108,19,106,21,38,83,32,20180804
14,29,12,18,507,14,22,4,144,17,52,8,21,88,18,17,130,169,12,25,4,322,24,87,27,113,36,49,87,17,20180805
12,24,18,33,470,15,17,25,127,35,40,10,28,79,16,21,139,152,8,41,4,314,23,100,21,141,30,32,86,35,20180806
13,34,17,34,533,21,16,22,148,49,56,14,30,83,19,14,125,187,20,28,5,267,20,89,29,145,19,48,87,41,20180807
9,25,13,33,459,7,12,23,89,78,76,8,22,60,19,18,118,151,13,35,5,226,18,101,20,158,20,31,85,23,20180808
8,36,12,24,468,14,17,5,117,17,64,18,28,61,13,11,151,187,15,48,4,255,19,87,23,140,19,45,70,37,20180809
27,29,6,26,489,17,17,6,143,36,59,8,21,46,16,14,145,153,20,31,8,259,22,94,16,140,29,42,93,27,20180810
10,38,15,20,481,23,15,18,144,28,44,8,13,82,9,17,161,149,9,28,7,285,16,74,21,134,21,44,66,35,20180811
14,31,18,23,491,13,15,26,133,57,68,7,17,68,13,14,175,154,19,30,9,276,40,87,25,131,22,51,69,23,20180812
7,30,21,44,487,13,15,24,121,42,54,12,34,81,17,16,169,200,12,51,6,248,28,76,28,146,14,50,110,26,20180813
22,19,7,28,512,14,18,8,126,40,63,17,32,89,18,11,144,195,25,23,7,231,21,67,31,146,29,39,72,31,20180814
6,22,4,26,479,8,11,24,125,71,49,11,22,80,22,12,145,207,8,40,6,213,27,94,11,152,19,39,78,32,20180815
9,24,12,14,465,12,11,19,152,49,31,12,28,53,18,7,148,157,14,24,4,188,25,65,31,141,19,50,62,32,20180816
15,32,18,22,467,22,16,9,142,22,45,11,19,60,14,10,123,182,14,43,2,168,11,67,21,132,19,39,68,18,20180817
4,20,9,20,425,22,16,18,116,37,53,12,18,78,16,6,115,245,17,27,5,208,14,66,20,148,17,25,75,21,20180818
10,29,5,17,370,19,11,23,106,49,56,9,17,53,16,9,120,172,12,15,1,178,13,60,22,109,20,40,32,26,20180819
18,31,17,40,424,9,12,12,126,44,45,15,24,57,18,16,152,175,18,37,3,202,25,67,27,106,13,47,82,31,20180820
21,35,15,28,379,26,24,14,148,50,36,18,33,73,23,12,126,192,19,35,6,201,38,97,29,123,19,40,66,29,20180821
17,30,18,32,401,5,24,15,132,68,45,9,28,64,39,12,99,180,16,27,2,181,31,82,21,127,21,39,56,38,20180822
9,18,16,26,405,24,23,31,158,21,45,11,28,59,28,9,113,179,13,34,3,179,32,58,25,134,16,35,55,27,20180823
23,27,6,33,436,23,32,4,141,39,82,10,29,85,25,15,88,175,14,34,1,187,17,65,20,134,22,46,88,32,20180824
17,25,18,21,498,11,24,20,166,41,38,9,25,84,29,17,82,181,7,45,4,180,33,70,20,131,25,41,51,15,20180825
17,31,15,25,446,13,16,19,152,67,34,7,27,77,28,16,135,209,17,34,5,182,21,54,21,129,32,39,94,16,20180826
23,26,15,35,425,24,26,9,143,58,60,20,30,73,27,12,128,192,16,59,3,165,33,63,29,142,13,29,70,37,20180827
16,31,19,23,430,30,26,23,148,61,67,7,35,61,32,16,117,205,22,45,4,176,19,61,27,131,25,43,84,24,20180828
17,32,15,27,439,11,23,19,126,91,53,10,24,62,22,13,122,215,14,44,5,127,29,60,18,138,20,34,87,20,20180829
7,16,19,16,393,26,9,16,159,14,53,17,29,75,19,12,107,215,10,41,5,145,20,63,22,117,21,31,73,26,20180830
21,24,23,19,421,28,14,2,127,34,40,3,20,71,19,10,91,177,11,38,4,123,21,47,25,131,18,34,67,16,20180831
33,21,21,26,419,24,17,8,117,48,43,8,27,64,18,15,84,198,10,38,7,119,25,49,32,120,22,33,54,32,20180901
16,24,12,18,387,38,15,1,152,44,78,10,22,62,26,16,93,172,18,40,4,116,29,63,26,119,29,46,74,39,20180902
18,26,18,40,355,11,16,9,137,17,54,15,28,65,30,16,83,177,14,40,7,119,35,41,26,138,16,39,82,25,20180903
11,19,13,29,354,20,19,15,117,42,48,11,28,76,29,9,90,198,22,29,7,128,29,50,37,149,32,30,86,28,20180904
8,22,15,26,389,15,28,26,132,55,45,6,17,58,29,7,79,176,18,36,3,121,20,57,20,147,18,26,58,24,20180905
9,24,9,18,369,30,21,10,138,30,60,18,19,76,18,12,61,202,16,34,7,112,25,60,37,151,14,33,60,19,20180906
12,36,12,20,382,37,22,6,120,30,52,9,14,54,30,7,74,177,11,43,8,95,21,42,41,151,18,34,91,15,20180907
19,39,16,25,403,60,8,16,138,53,53,16,18,76,28,9,68,208,9,40,7,111,23,52,32,143,22,46,64,22,20180908
32,30,21,16,355,38,18,11,170,34,58,6,29,67,18,15,67,179,18,52,7,87,21,41,42,142,28,36,52,14,20180909
24,27,14,38,381,20,17,9,149,40,36,18,26,57,19,17,59,183,15,48,11,84,19,44,28,131,13,44,75,35,20180910
13,23,11,24,329,22,18,22,119,51,45,18,32,70,26,14,61,206,17,52,8,100,21,45,33,142,22,32,67,21,20180911
19,21,12,27,329,19,18,25,134,58,72,13,24,73,20,12,59,181,12,53,8,80,17,43,23,138,17,31,72,19,20180912
14,32,14,27,303,23,22,13,163,23,55,12,30,52,26,8,59,168,12,49,10,82,30,32,15,116,15,33,79,30,20180913
9,38,10,29,288,19,22,13,154,28,49,13,22,59,20,6,46,199,10,40,6,77,15,34,6,122,20,24,75,23,20180914
12,10,23,22,283,42,18,4,167,41,38,12,22,68,21,8,43,205,7,34,8,48,16,43,18,127,22,32,74,31,20180915
33,39,13,23,289,28,25,None,160,67,66,11,23,42,25,8,45,203,15,40,7,53,15,37,26,110,24,29,69,25,20180916
12,38,19,39,249,11,19,27,149,39,54,15,22,51,27,4,31,218,13,38,5,58,21,49,19,109,30,25,81,24,20180917
17,26,12,20,253,12,19,4,133,47,54,6,19,77,27,13,26,182,19,24,6,65,17,35,21,117,20,22,74,19,20180918
11,23,15,26,247,6,22,11,112,58,36,5,19,55,26,9,30,172,10,20,6,61,8,37,14,94,21,18,62,27,20180919
10,15,10,22,254,8,20,17,158,17,27,10,23,63,29,9,29,156,11,20,3,68,15,37,8,87,13,33,81,16,20180920
23,32,10,19,267,9,41,12,124,37,40,14,32,63,30,11,17,170,12,31,6,69,19,43,21,83,18,29,69,17,20180921
24,31,17,21,299,38,34,2,162,50,47,7,18,57,17,14,33,192,17,29,9,61,9,30,19,100,24,32,51,17,20180922
11,32,11,16,312,26,24,18,200,68,73,5,13,63,31,16,19,172,11,44,7,61,18,27,18,92,16,42,72,30,20180923
22,22,19,25,259,21,31,11,159,17,46,6,9,44,30,15,26,159,4,25,4,55,9,32,23,80,19,25,36,10,20180924
15,37,14,22,253,24,29,8,169,39,40,13,19,79,32,20,26,215,11,49,7,63,15,34,33,116,25,29,83,24,20180925
20,34,12,22,257,8,27,12,162,69,41,8,27,67,31,16,30,208,12,63,6,64,12,21,12,134,32,30,72,32,20180926
5,28,12,24,264,7,24,20,171,25,57,15,20,62,35,9,38,200,14,49,3,50,12,32,12,137,19,41,86,23,20180927
8,48,17,26,255,20,15,1,164,21,52,14,36,59,15,12,32,191,11,68,3,60,9,40,20,134,16,26,78,20,20180928
12,18,12,25,249,19,28,19,138,45,52,14,20,79,21,8,28,243,14,42,3,49,15,29,13,128,18,30,69,21,20180929
18,22,9,20,267,13,26,2,170,62,35,13,16,67,23,6,24,197,8,51,5,45,16,30,13,126,16,35,57,21,20180930
15,28,17,35,241,25,26,2,197,30,46,4,13,86,17,11,18,214,13,61,6,51,22,39,27,116,23,38,48,22,20181001
5,28,7,27,234,23,24,20,209,61,39,10,15,61,14,11,16,192,20,51,5,58,11,30,19,117,29,31,61,25,20181002
27,24,11,35,239,16,38,4,166,42,43,7,32,51,18,16,13,213,13,55,3,45,13,29,22,121,12,30,54,10,20181003
12,20,19,31,243,24,30,22,189,61,37,11,22,64,31,20,20,205,21,52,5,38,5,41,25,113,20,43,57,11,20181004
